2714074500, 대구광역시, 동구, 안심3.4동
2817752000, 인천광역시, 미추홀구, 숭의1,3동
2817754000, 인천광역시, 미추홀구, 용현1,4동
2817761000, 인천광역시, 미추홀구, 도화2,3동
3611000000, 세종특별자치시, 세종특별자치시, 
3611025000, 세종특별자치시, 세종특별자치시, 조치원읍
3611031000, 세종특별자치시, 세종특별자치시, 연기면
3611032000, 세종특별자치시, 세종특별자치시, 연동면
3611033000, 세종특별자치시, 세종특별자치시, 부강면
3611034000, 세종특별자치시, 세종특별자치시, 금남면
3611035000, 세종특별자치시, 세종특별자치시, 장군면
3611036000, 세종특별자치시, 세종특별자치시, 연서면
3611037000, 세종특별자치시, 세종특별자치시, 전의면
3611038000, 세종특별자치시, 세종특별자치시, 전동면
3611039000, 세종특별자치시, 세종특별자치시, 소정면
3611051000, 세종특별자치시, 세종특별자치시, 한솔동
3611051500, 세종특별자치시, 세종특별자치시, 새롬동
3611052000, 세종특별자치시, 세종특별자치시, 도담동
3611053000, 세종특별자치시, 세종특별자치시, 아름동
3611054000, 세종특별자치시, 세종특별자치시, 종촌동
3611055000, 세종특별자치시, 세종특별자치시, 고운동
3611055500, 세종특별자치시, 세종특별자치시, 소담동
3611056000, 세종특별자치시, 세종특별자치시, 보람동
3611057000, 세종특별자치시, 세종특별자치시, 대평동
4111100000, 경기도, 수원시장안구, 
4111156000, 경기도, 수원시장안구, 파장동
4111156600, 경기도, 수원시장안구, 율천동
4111157100, 경기도, 수원시장안구, 정자1동
4111157200, 경기도, 수원시장안구, 정자2동
4111157300, 경기도, 수원시장안구, 정자3동
4111158000, 경기도, 수원시장안구, 영화동
4111159100, 경기도, 수원시장안구, 송죽동
4111159700, 경기도, 수원시장안구, 조원1동
4111159800, 경기도, 수원시장안구, 조원2동
4111160000, 경기도, 수원시장안구, 연무동
4111300000, 경기도, 수원시권선구, 
4111352000, 경기도, 수원시권선구, 세류1동
4111353000, 경기도, 수원시권선구, 세류2동
4111354000, 경기도, 수원시권선구, 세류3동
4111355000, 경기도, 수원시권선구, 평동
4111356000, 경기도, 수원시권선구, 서둔동
4111365000, 경기도, 수원시권선구, 구운동
4111367000, 경기도, 수원시권선구, 권선1동
4111368000, 경기도, 수원시권선구, 권선2동
4111369000, 경기도, 수원시권선구, 곡선동
4111370000, 경기도, 수원시권선구, 입북동
4111500000, 경기도, 수원시팔달구, 
4111565000, 경기도, 수원시팔달구, 매교동
4111566000, 경기도, 수원시팔달구, 매산동
4111567000, 경기도, 수원시팔달구, 고등동
4111568000, 경기도, 수원시팔달구, 화서1동
4111569000, 경기도, 수원시팔달구, 화서2동
4111570000, 경기도, 수원시팔달구, 지동
4111571000, 경기도, 수원시팔달구, 우만1동
4111572000, 경기도, 수원시팔달구, 우만2동
4111573000, 경기도, 수원시팔달구, 인계동
4111574000, 경기도, 수원시팔달구, 행궁동
4111700000, 경기도, 수원시영통구, 
4111751000, 경기도, 수원시영통구, 매탄1동
4111752000, 경기도, 수원시영통구, 매탄2동
4111753000, 경기도, 수원시영통구, 매탄3동
4111754000, 경기도, 수원시영통구, 매탄4동
4111755000, 경기도, 수원시영통구, 원천동
4111757000, 경기도, 수원시영통구, 영통1동
4111758000, 경기도, 수원시영통구, 영통2동
4111758500, 경기도, 수원시영통구, 영통3동
4111759300, 경기도, 수원시영통구, 망포1동
4111759600, 경기도, 수원시영통구, 망포2동
4111760000, 경기도, 수원시영통구, 광교1동
4111761000, 경기도, 수원시영통구, 광교2동
4113100000, 경기도, 성남시수정구, 
4113151000, 경기도, 성남시수정구, 신흥1동
4113152000, 경기도, 성남시수정구, 신흥2동
4113153000, 경기도, 성남시수정구, 신흥3동
4113154000, 경기도, 성남시수정구, 태평1동
4113155000, 경기도, 성남시수정구, 태평2동
4113156000, 경기도, 성남시수정구, 태평3동
4113156100, 경기도, 성남시수정구, 태평4동
4113157000, 경기도, 성남시수정구, 수진1동
4113158000, 경기도, 성남시수정구, 수진2동
4113159000, 경기도, 성남시수정구, 단대동
4113160000, 경기도, 성남시수정구, 산성동
4113161000, 경기도, 성남시수정구, 양지동
4113162000, 경기도, 성남시수정구, 복정동
4113162500, 경기도, 성남시수정구, 위례동
4113163000, 경기도, 성남시수정구, 신촌동
4113164000, 경기도, 성남시수정구, 고등동
4113165000, 경기도, 성남시수정구, 시흥동
4113300000, 경기도, 성남시중원구, 
4113351000, 경기도, 성남시중원구, 성남동
4113352500, 경기도, 성남시중원구, 중앙동
4113353000, 경기도, 성남시중원구, 금광1동
4113354000, 경기도, 성남시중원구, 금광2동
4113355000, 경기도, 성남시중원구, 은행1동
4113356000, 경기도, 성남시중원구, 은행2동
4113357000, 경기도, 성남시중원구, 상대원1동
4113358000, 경기도, 성남시중원구, 상대원2동
4113359000, 경기도, 성남시중원구, 상대원3동
4113366000, 경기도, 성남시중원구, 하대원동
4113367000, 경기도, 성남시중원구, 도촌동
4113500000, 경기도, 성남시분당구, 
4113551000, 경기도, 성남시분당구, 분당동
4113552000, 경기도, 성남시분당구, 수내1동
4113553000, 경기도, 성남시분당구, 수내2동
4113554000, 경기도, 성남시분당구, 수내3동
4113554500, 경기도, 성남시분당구, 정자동
4113555000, 경기도, 성남시분당구, 정자1동
4113556000, 경기도, 성남시분당구, 정자2동
4113557000, 경기도, 성남시분당구, 정자3동
4113558000, 경기도, 성남시분당구, 서현1동
4113559000, 경기도, 성남시분당구, 서현2동
4113560000, 경기도, 성남시분당구, 이매1동
4113561000, 경기도, 성남시분당구, 이매2동
4113562000, 경기도, 성남시분당구, 야탑1동
4113563000, 경기도, 성남시분당구, 야탑2동
4113564000, 경기도, 성남시분당구, 야탑3동
4113565000, 경기도, 성남시분당구, 판교동
4113565500, 경기도, 성남시분당구, 삼평동
4113565700, 경기도, 성남시분당구, 백현동
4113566200, 경기도, 성남시분당구, 금곡동
4113566500, 경기도, 성남시분당구, 구미1동
4113567000, 경기도, 성남시분당구, 구미동
4113568000, 경기도, 성남시분당구, 운중동
4117100000, 경기도, 안양시만안구, 
4117151000, 경기도, 안양시만안구, 안양1동
4117152000, 경기도, 안양시만안구, 안양2동
4117153000, 경기도, 안양시만안구, 안양3동
4117154000, 경기도, 안양시만안구, 안양4동
4117155000, 경기도, 안양시만안구, 안양5동
4117156000, 경기도, 안양시만안구, 안양6동
4117157000, 경기도, 안양시만안구, 안양7동
4117158000, 경기도, 안양시만안구, 안양8동
4117158100, 경기도, 안양시만안구, 안양9동
4117159000, 경기도, 안양시만안구, 석수1동
4117160000, 경기도, 안양시만안구, 석수2동
4117161000, 경기도, 안양시만안구, 석수3동
4117162100, 경기도, 안양시만안구, 박달1동
4117163000, 경기도, 안양시만안구, 박달2동
4117300000, 경기도, 안양시동안구, 
4117351000, 경기도, 안양시동안구, 비산1동
4117352000, 경기도, 안양시동안구, 비산2동
4117353000, 경기도, 안양시동안구, 비산3동
4117354000, 경기도, 안양시동안구, 부흥동
4117354600, 경기도, 안양시동안구, 달안동
4117355000, 경기도, 안양시동안구, 관양1동
4117356000, 경기도, 안양시동안구, 관양2동
4117356600, 경기도, 안양시동안구, 부림동
4117357000, 경기도, 안양시동안구, 평촌동
4117357600, 경기도, 안양시동안구, 평안동
4117357800, 경기도, 안양시동안구, 귀인동
4117358000, 경기도, 안양시동안구, 호계1동
4117359000, 경기도, 안양시동안구, 호계2동
4117360000, 경기도, 안양시동안구, 호계3동
4117361000, 경기도, 안양시동안구, 범계동
4117362000, 경기도, 안양시동안구, 신촌동
4117363000, 경기도, 안양시동안구, 갈산동
4127100000, 경기도, 안산시상록구, 
4127151000, 경기도, 안산시상록구, 일동
4127151500, 경기도, 안산시상록구, 이동
4127152500, 경기도, 안산시상록구, 사동
4127153200, 경기도, 안산시상록구, 사이동
4127153700, 경기도, 안산시상록구, 해양동
4127154000, 경기도, 안산시상록구, 본오1동
4127155000, 경기도, 안산시상록구, 본오2동
4127156000, 경기도, 안산시상록구, 본오3동
4127157000, 경기도, 안산시상록구, 부곡동
4127158000, 경기도, 안산시상록구, 월피동
4127159000, 경기도, 안산시상록구, 성포동
4127160000, 경기도, 안산시상록구, 반월동
4127161000, 경기도, 안산시상록구, 안산동
4127300000, 경기도, 안산시단원구, 
4127351000, 경기도, 안산시단원구, 와동
4127352500, 경기도, 안산시단원구, 고잔동
4127353200, 경기도, 안산시단원구, 중앙동
4127353500, 경기도, 안산시단원구, 호수동
4127354500, 경기도, 안산시단원구, 원곡동
4127355500, 경기도, 안산시단원구, 백운동
4127356500, 경기도, 안산시단원구, 신길동
4127357000, 경기도, 안산시단원구, 초지동
4127358000, 경기도, 안산시단원구, 선부1동
4127359000, 경기도, 안산시단원구, 선부2동
4127360000, 경기도, 안산시단원구, 선부3동
4127361000, 경기도, 안산시단원구, 대부동
4128100000, 경기도, 고양시덕양구, 
4128151000, 경기도, 고양시덕양구, 주교동
4128152000, 경기도, 고양시덕양구, 원신동
4128153000, 경기도, 고양시덕양구, 흥도동
4128154000, 경기도, 고양시덕양구, 성사1동
4128155000, 경기도, 고양시덕양구, 성사2동
4128156000, 경기도, 고양시덕양구, 효자동
4128157500, 경기도, 고양시덕양구, 삼송동
4128158000, 경기도, 고양시덕양구, 창릉동
4128159000, 경기도, 고양시덕양구, 고양동
4128160000, 경기도, 고양시덕양구, 관산동
4128161000, 경기도, 고양시덕양구, 능곡동
4128162100, 경기도, 고양시덕양구, 화정1동
4128162200, 경기도, 고양시덕양구, 화정2동
4128163000, 경기도, 고양시덕양구, 행주동
4128164000, 경기도, 고양시덕양구, 행신1동
4128165000, 경기도, 고양시덕양구, 행신2동
4128165500, 경기도, 고양시덕양구, 행신3동
4128166000, 경기도, 고양시덕양구, 화전동
4128167000, 경기도, 고양시덕양구, 대덕동
4128500000, 경기도, 고양시일산동구, 
4128551000, 경기도, 고양시일산동구, 식사동
4128552000, 경기도, 고양시일산동구, 중산동
4128553000, 경기도, 고양시일산동구, 정발산동
4128554000, 경기도, 고양시일산동구, 풍산동
4128555100, 경기도, 고양시일산동구, 백석1동
4128555200, 경기도, 고양시일산동구, 백석2동
4128556000, 경기도, 고양시일산동구, 마두1동
4128557000, 경기도, 고양시일산동구, 마두2동
4128558000, 경기도, 고양시일산동구, 장항1동
4128559000, 경기도, 고양시일산동구, 장항2동
4128560000, 경기도, 고양시일산동구, 고봉동
4128700000, 경기도, 고양시일산서구, 
4128751000, 경기도, 고양시일산서구, 일산1동
4128752000, 경기도, 고양시일산서구, 일산2동
4128753000, 경기도, 고양시일산서구, 일산3동
4128754000, 경기도, 고양시일산서구, 탄현동
4128755000, 경기도, 고양시일산서구, 주엽1동
4128756000, 경기도, 고양시일산서구, 주엽2동
4128757000, 경기도, 고양시일산서구, 대화동
4128758000, 경기도, 고양시일산서구, 송포동
4128759000, 경기도, 고양시일산서구, 송산동
4146100000, 경기도, 용인시처인구, 
4146125000, 경기도, 용인시처인구, 포곡읍
4146125300, 경기도, 용인시처인구, 모현읍
4146125600, 경기도, 용인시처인구, 이동읍
4146132000, 경기도, 용인시처인구, 남사면
4146134000, 경기도, 용인시처인구, 원삼면
4146135000, 경기도, 용인시처인구, 백암면
4146136000, 경기도, 용인시처인구, 양지면
4146151000, 경기도, 용인시처인구, 중앙동
4146152000, 경기도, 용인시처인구, 역삼동
4146153000, 경기도, 용인시처인구, 유림동
4146154000, 경기도, 용인시처인구, 동부동
4146300000, 경기도, 용인시기흥구, 
4146351000, 경기도, 용인시기흥구, 신갈동
4146351500, 경기도, 용인시기흥구, 영덕동
4146351600, 경기도, 용인시기흥구, 영덕1동
4146351700, 경기도, 용인시기흥구, 영덕2동
4146352000, 경기도, 용인시기흥구, 구갈동
4146353000, 경기도, 용인시기흥구, 상갈동
4146353500, 경기도, 용인시기흥구, 보라동
4146354000, 경기도, 용인시기흥구, 기흥동
4146355000, 경기도, 용인시기흥구, 서농동
4146356000, 경기도, 용인시기흥구, 구성동
4146357000, 경기도, 용인시기흥구, 마북동
4146357200, 경기도, 용인시기흥구, 동백1동
4146357500, 경기도, 용인시기흥구, 동백2동
4146357700, 경기도, 용인시기흥구, 동백3동
4146358500, 경기도, 용인시기흥구, 동백동
4146358600, 경기도, 용인시기흥구, 상하동
4146359000, 경기도, 용인시기흥구, 보정동
4146500000, 경기도, 용인시수지구, 
4146551000, 경기도, 용인시수지구, 풍덕천1동
4146552000, 경기도, 용인시수지구, 풍덕천2동
4146553000, 경기도, 용인시수지구, 신봉동
4146554000, 경기도, 용인시수지구, 죽전1동
4146555000, 경기도, 용인시수지구, 죽전2동
4146556000, 경기도, 용인시수지구, 동천동
4146557000, 경기도, 용인시수지구, 상현1동
4146558000, 경기도, 용인시수지구, 상현2동
4146559000, 경기도, 용인시수지구, 성복동
4311100000, 충청북도, 청주시상당구, 
4311131000, 충청북도, 청주시상당구, 낭성면
4311132000, 충청북도, 청주시상당구, 미원면
4311133000, 충청북도, 청주시상당구, 가덕면
4311134000, 충청북도, 청주시상당구, 남일면
4311135000, 충청북도, 청주시상당구, 문의면
4311152500, 충청북도, 청주시상당구, 중앙동
4311154500, 충청북도, 청주시상당구, 성안동
4311162000, 충청북도, 청주시상당구, 탑대성동
4311167000, 충청북도, 청주시상당구, 영운동
4311168000, 충청북도, 청주시상당구, 금천동
4311169000, 충청북도, 청주시상당구, 용담.명암.산성동
4311172000, 충청북도, 청주시상당구, 용암1동
4311173000, 충청북도, 청주시상당구, 용암2동
4311200000, 충청북도, 청주시서원구, 
4311231000, 충청북도, 청주시서원구, 남이면
4311232000, 충청북도, 청주시서원구, 현도면
4311251000, 충청북도, 청주시서원구, 사직1동
4311252000, 충청북도, 청주시서원구, 사직2동
4311253000, 충청북도, 청주시서원구, 사창동
4311254000, 충청북도, 청주시서원구, 모충동
4311255000, 충청북도, 청주시서원구, 산남동
4311256000, 충청북도, 청주시서원구, 분평동
4311257000, 충청북도, 청주시서원구, 수곡1동
4311258000, 충청북도, 청주시서원구, 수곡2동
4311259000, 충청북도, 청주시서원구, 성화.개신.죽림동
4311300000, 충청북도, 청주시흥덕구, 
4311325000, 충청북도, 청주시흥덕구, 오송읍
4311331000, 충청북도, 청주시흥덕구, 강내면
4311332000, 충청북도, 청주시흥덕구, 옥산면
4311370000, 충청북도, 청주시흥덕구, 운천.신봉동
4311374100, 충청북도, 청주시흥덕구, 복대1동
4311374200, 충청북도, 청주시흥덕구, 복대2동
4311374700, 충청북도, 청주시흥덕구, 가경동
4311375100, 충청북도, 청주시흥덕구, 봉명1동
4311375600, 충청북도, 청주시흥덕구, 봉명2.송정동
4311376000, 충청북도, 청주시흥덕구, 강서제1동
4311377000, 충청북도, 청주시흥덕구, 강서제2동
4311400000, 충청북도, 청주시청원구, 
4311425000, 충청북도, 청주시청원구, 내수읍
4311425300, 충청북도, 청주시청원구, 오창읍
4311431000, 충청북도, 청주시청원구, 북이면
4311451000, 충청북도, 청주시청원구, 우암동
4311452000, 충청북도, 청주시청원구, 내덕1동
4311453000, 충청북도, 청주시청원구, 내덕2동
4311454000, 충청북도, 청주시청원구, 율량.사천동
4311455000, 충청북도, 청주시청원구, 오근장동
4413100000, 충청남도, 천안시동남구, 
4413125000, 충청남도, 천안시동남구, 목천읍
4413131000, 충청남도, 천안시동남구, 풍세면
4413132000, 충청남도, 천안시동남구, 광덕면
4413133000, 충청남도, 천안시동남구, 북면
4413134000, 충청남도, 천안시동남구, 성남면
4413135000, 충청남도, 천안시동남구, 수신면
4413136000, 충청남도, 천안시동남구, 병천면
4413137000, 충청남도, 천안시동남구, 동면
4413151000, 충청남도, 천안시동남구, 중앙동
4413152000, 충청남도, 천안시동남구, 문성동
4413153000, 충청남도, 천안시동남구, 원성1동
4413154000, 충청남도, 천안시동남구, 원성2동
4413155000, 충청남도, 천안시동남구, 봉명동
4413156000, 충청남도, 천안시동남구, 일봉동
4413157000, 충청남도, 천안시동남구, 신방동
4413158000, 충청남도, 천안시동남구, 청룡동
4413159000, 충청남도, 천안시동남구, 신안동
4413300000, 충청남도, 천안시서북구, 
4413325000, 충청남도, 천안시서북구, 성환읍
4413325300, 충청남도, 천안시서북구, 성거읍
4413325600, 충청남도, 천안시서북구, 직산읍
4413331000, 충청남도, 천안시서북구, 입장면
4413351000, 충청남도, 천안시서북구, 성정1동
4413352000, 충청남도, 천안시서북구, 성정2동
4413353000, 충청남도, 천안시서북구, 쌍용1동
4413354000, 충청남도, 천안시서북구, 쌍용2동
4413355000, 충청남도, 천안시서북구, 쌍용3동
4413356000, 충청남도, 천안시서북구, 백석동
4413356500, 충청남도, 천안시서북구, 불당동
4413358000, 충청남도, 천안시서북구, 부성1동
4413359000, 충청남도, 천안시서북구, 부성2동
4511100000, 전라북도, 전주시완산구, 
4511151000, 전라북도, 전주시완산구, 중앙동
4511153000, 전라북도, 전주시완산구, 풍남동
4511160500, 전라북도, 전주시완산구, 노송동
4511163500, 전라북도, 전주시완산구, 완산동
4511165000, 전라북도, 전주시완산구, 동서학동
4511166000, 전라북도, 전주시완산구, 서서학동
4511167100, 전라북도, 전주시완산구, 중화산1동
4511167200, 전라북도, 전주시완산구, 중화산2동
4511168000, 전라북도, 전주시완산구, 서신동
4511169100, 전라북도, 전주시완산구, 평화1동
4511169200, 전라북도, 전주시완산구, 평화2동
4511170100, 전라북도, 전주시완산구, 삼천1동
4511170200, 전라북도, 전주시완산구, 삼천2동
4511170300, 전라북도, 전주시완산구, 삼천3동
4511171100, 전라북도, 전주시완산구, 효자1동
4511171200, 전라북도, 전주시완산구, 효자2동
4511171300, 전라북도, 전주시완산구, 효자3동
4511171400, 전라북도, 전주시완산구, 효자4동
4511173000, 전라북도, 전주시완산구, 효자5동
4511300000, 전라북도, 전주시덕진구, 
4511352500, 전라북도, 전주시덕진구, 진북동
4511354000, 전라북도, 전주시덕진구, 인후1동
4511355000, 전라북도, 전주시덕진구, 인후2동
4511356000, 전라북도, 전주시덕진구, 인후3동
4511357000, 전라북도, 전주시덕진구, 덕진동
4511358000, 전라북도, 전주시덕진구, 금암1동
4511359000, 전라북도, 전주시덕진구, 금암2동
4511360000, 전라북도, 전주시덕진구, 팔복동
4511361100, 전라북도, 전주시덕진구, 우아1동
4511361200, 전라북도, 전주시덕진구, 우아2동
4511362000, 전라북도, 전주시덕진구, 호성동
4511364100, 전라북도, 전주시덕진구, 송천1동
4511364200, 전라북도, 전주시덕진구, 송천2동
4511365000, 전라북도, 전주시덕진구, 조촌동
4511366500, 전라북도, 전주시덕진구, 여의동
4511367000, 전라북도, 전주시덕진구, 혁신동
4711100000, 경상북도, 포항시남구, 
4711125000, 경상북도, 포항시남구, 구룡포읍
4711125300, 경상북도, 포항시남구, 연일읍
4711125600, 경상북도, 포항시남구, 오천읍
4711131000, 경상북도, 포항시남구, 대송면
4711132000, 경상북도, 포항시남구, 동해면
4711133000, 경상북도, 포항시남구, 장기면
4711135000, 경상북도, 포항시남구, 호미곶면
4711152500, 경상북도, 포항시남구, 상대동
4711154500, 경상북도, 포항시남구, 해도동
4711155000, 경상북도, 포항시남구, 송도동
4711156000, 경상북도, 포항시남구, 청림동
4711157000, 경상북도, 포항시남구, 제철동
4711158000, 경상북도, 포항시남구, 효곡동
4711159000, 경상북도, 포항시남구, 대이동
4711300000, 경상북도, 포항시북구, 
4711325000, 경상북도, 포항시북구, 흥해읍
4711331000, 경상북도, 포항시북구, 신광면
4711332000, 경상북도, 포항시북구, 청하면
4711333000, 경상북도, 포항시북구, 송라면
4711334000, 경상북도, 포항시북구, 기계면
4711335000, 경상북도, 포항시북구, 죽장면
4711336000, 경상북도, 포항시북구, 기북면
4711352000, 경상북도, 포항시북구, 중앙동
4711363000, 경상북도, 포항시북구, 양학동
4711365500, 경상북도, 포항시북구, 죽도동
4711366500, 경상북도, 포항시북구, 용흥동
4711368000, 경상북도, 포항시북구, 우창동
4711369000, 경상북도, 포항시북구, 두호동
4711370000, 경상북도, 포항시북구, 장량동
4711371000, 경상북도, 포항시북구, 환여동
4794033000, 경상북도, 울릉군, 독도
4812556500, 경상남도, 창원시 마산합포구, 중앙동
5013025000, 제주특별자치도, 서귀포시, 대정읍/마라도포함
5019000000, 이어도, , 
5019099000, 이어도, , 
